MDC,Kategori,Epizod,Pay_%,Medyan,Ortalama,Toplam,Ort_LOS,Ort_Yas
I,Kas-İskelet,2945,9.6,6684.0,9127.0,26880086.0,1.8,60.6
F,Dolaşım,1691,5.5,4718.0,6720.0,11362894.0,1.81,69.8
G,Sindirim,1707,5.6,1580.0,3488.0,5953212.0,1.02,60.6
L,Böbrek/Üriner,10001,32.7,357.0,556.0,5564309.0,0.1,66.1
C,Göz,1549,5.1,2636.0,2862.0,4433231.0,0.01,71.7
R,Ruhsal,6965,22.8,480.0,625.0,4355261.0,0.04,66.8
N,Kadın Üreme,662,2.2,4231.0,4814.0,3186692.0,1.01,46.9
O,Gebelik/Doğum,513,1.7,6880.0,5745.0,2947391.0,2.82,32.2
K,Endokrin,372,1.2,8774.0,7450.0,2771262.0,2.51,52.1
J,Deri,551,1.8,3571.0,5010.0,2760406.0,1.08,60.5
E,Solunum,472,1.5,4261.0,5669.0,2675761.0,4.57,67.7
D,KBB & Ağız,1004,3.3,2088.0,2649.0,2659700.0,0.59,26.8
M,Erkek Üreme,410,1.3,2591.0,3735.0,1531219.0,0.53,64.4
H,Karaciğer/Safra,212,0.7,5264.0,6709.0,1422410.0,2.01,55.6
B,Sinir Sistemi,206,0.7,3351.0,5119.0,1054549.0,3.91,68.0
Z,Gruplandırılamayan,582,1.9,1174.0,1597.0,929448.0,0.66,65.1
T,Enfeksiyon,83,0.3,5898.0,7531.0,625084.0,4.66,66.0
Q,Kan,241,0.8,1117.0,1921.0,462906.0,0.8,68.8
X,Diğer,91,0.3,3195.0,4451.0,405071.0,2.05,48.3
8,,11,0.0,7185.0,12838.0,141214.0,12.45,57.1
P,Yenidoğan,340,1.1,0.0,135.0,46052.0,3.74,0.0
U,Yanık,5,0.0,5689.0,8104.0,40518.0,5.4,63.8
V,Sağlık Faktörleri,2,0.0,3331.0,3331.0,6663.0,4.5,48.5
